nama_resto,alamat,kecamatan,kategori,Phones,jumlah_review,rating,google_maps,latitude,longitude,website,domain,working_hour,facilities,average_price,type_resto
Sushi Tei,"Jl. Komp. Colombo Jl. Affandi No.9, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55222","Mrican, Caturtunggal",Japanese restaurant,"(0274) 552637, +62 274 552637",6493,4.6,https://www.google.com/maps?cid=7642400801098452480,-7.7789449,110.3886974,http://www.sushitei.co.id/,sushitei.co.id,"Minggu: [10.00-21.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00-21.00], Kamis: [10.00-21.00], Jumat: [10.00-21.00], Sabtu: [10.00-21.00]",tempat parkir,5,5
Chingu Cafe,"Jl. Pandega Karya No. 18, Jl. Kaliurang No.KM 5, Yogyakarta, Daerah Istimewa Yogyakarta 55281",Jl. Kaliurang No.KM 5,Restoran Korea,"0815-7334-2689, +62 815-7334-2689",5856,4.5,https://www.google.com/maps?cid=4594440703139688106,-7.7574832,110.3845716,http://www.chingucafe.com/store,chingucafe.com,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Ayam Pedas Arto Moro,"Jalan Palagan Tentara Pelajar Km.7,8 No.30s, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Karang Moko, Sariharjo","Chicken restaurant,restoran indonesia","0851-0446-0855, +62 851-0446-0855",3102,4.6,https://www.google.com/maps?cid=548948224340421097,-7.7319692,110.3784334,,,"Minggu: [10.00-21.00], Senin: [10.00-21.00], Selasa: [10.00-21.00], Rabu: [10.00-21.00], Kamis: [10.00-21.00], Jumat: [10.00-21.00], Sabtu: [10.00-21.00]",tempat parkir,3,2
Filosofi Kopi Jogja,"Jl. Pandhawa No.001/17, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Tegal Rejo, Sariharjo","Coffee shop,Coffee store","0817-0737-027, +62 817-0737-027",10662,4.5,https://www.google.com/maps?cid=17303798880899367381,-7.7276491,110.3769876,http://www.filosofikopi.id/,filosofikopi.id,"Rabu:[7.00-22.00], Kamis:[7.00-22.00], Jumat:[7.00-22.00], Sabtu:[7.00-22.00], Minggu:[7.00-22.00], Senin:[7.00-22.00], Selasa:[7.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,3
Tempo Gelato,"Kaliurang St No.KM.5 No.98, Kocoran, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284","Kocoran, Sinduadi",Ice cream shop,"(0274) 545654, +62 274 545654",18083,4.6,https://www.google.com/maps?cid=11853953830765330876,-7.7627172,110.3796997,http://www.tempogelato.com/,tempogelato.com,"Rabu:[9.00-10:30 PM], Kamis:[9.00-10:30 PM], Jumat:[9.00-10:30 PM], Sabtu:[9.00-10:30 PM], Minggu:[9.00-10:30 PM], Senin:[9.00-10:30 PM], Selasa:[9.00-10:30 PM]",tempat parkir,3,4
Tempo Gelato Prawirotaman,"Jl. Prawirotaman No.38B, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Brontokusuman,Ice cream shop,"(0274) 4291031, +62 274 4291031",19996,4.7,https://www.google.com/maps?cid=13244037186037591406,-7.8196695,110.3725439,http://www.tempogelato.com/,tempogelato.com,"Rabu:[9.00-10:30 PM], Kamis:[9.00-10:30 PM], Jumat:[9.00-10:30 PM], Sabtu:[9.00-10:30 PM], Minggu:[9.00-10:30 PM], Senin:[9.00-10:30 PM], Selasa:[9.00-10:30 PM]",tempat parkir,3,4
EL PRIMO SAUSAGE & DAIRY,"Jl. Palagan Tentara Pelajar Jl. Rejodani, RT.004/RW.004, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","RT.004/RW.004, Tambak Rejo, Sariharjo","Family restaurant,Italian restaurant","(0274) 2885986, +62 274 2885986",977,4.6,https://www.google.com/maps?cid=7318333902577738236,-7.7088815,110.3876851,http://instagram.com/elprimosausagedairy,instagram.com,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[7.00-22.00], Minggu:[7.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Giorno's Pizzeria,"Ambarukmo 377A, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Ambarukmo, Caturtunggal",Italian restaurant,"0895-3254-45802, +62 895-3254-45802",292,4.8,https://www.google.com/maps?cid=8586889228977847805,-7.7836681,110.4012398,,,"Rabu:[15.00-22.00], Kamis:[15.00-22.00], Jumat:[15.00-22.00], Sabtu:[15.00-22.00], Minggu:[15.00-22.00], Senin:[15.00-22.00], Selasa:[15.00-22.00]","tempat parkir, colokan",3,5
RM Duta Minang,"Jalan Magelang Km. 4 No.218, Sinduadi, Mlati, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Rogoyudan, Sinduadi","Padang restaurant,Diner","(0274) 580243, +62 274 580243",1088,4.4,https://www.google.com/maps?cid=14786480710186272481,-7.767723,110.361664,http://www.dutaminang.com/,dutaminang.com,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,3,4
RM. Duta Minang Gowongan,"Jl. Jend. Sudirman No.42, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Gowongan,Padang restaurant,"(0274) 562578, +62 274 562578",2525,4.4,https://www.google.com/maps?cid=1118883222137250739,-7.783119,110.3702831,http://www.dutaminang.com/,dutaminang.com,"Rabu:[7.00-00.00], Kamis:[7.00-00.00], Jumat:[7.00-00.00], Sabtu:[7.00-00.00], Minggu:[7.00-00.00], Senin:[7.00-00.00], Selasa:[7.00-00.00]",tempat parkir,3,4
Golden Geisha Ramen,"Jalan Magelang, Kutu Tegal, Sinduadi, Mlati, Sleman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55284",Kota Yogyakarta,Ramen restaurant,,1513,4.6,https://www.google.com/maps?cid=6573660714903145917,-7.7532064,110.3608984,https://instagram.com/goldengeisha.id?utm_medium=copy_link,instagram.com,"Rabu:[11.00-15.00], Kamis:[11.00-15.00], Jumat:[11.00-15.00], Sabtu:[11.00-15.00], Minggu:[11.00-15.00], Senin:[11.00-15.00], Selasa:[11.00-15.00]",tempat parkir,3,5
Swasana by Temata Yogyakarta,"Kaliurang St No.Km.9, Gondangan, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581","Gondangan, Sardonoharjo",Restaurant,"0812-2866-3338, +62 812-2866-3338",951,4.6,https://www.google.com/maps?cid=712857155967489438,-7.7259841,110.4004614,https://swasana.id/,swasana.id,"Rabu:[9.00-22.00], Kamis:[9.00-22.00], Jumat:[9.00-22.00], Sabtu:[9.00-22.00], Minggu:[9.00-22.00], Senin:[9.00-22.00], Selasa:[9.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,5
Susu dan Roti Bakar Om Bob,"Lojajar, Sinduharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Kec. Ngaglik,Restaurant,"0881-7668-169, +62 881-7668-169",1443,4.2,https://www.google.com/maps?cid=5667094376835021434,-7.7241891,110.38526,,,"Rabu:[15.00-23.00], Kamis:[15.00-23.00], Jumat:[15.00-23.00], Sabtu:[15.00-00.00], Minggu:[15.00-00.00], Senin:[15.00-23.00], Selasa:[15.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,2
Susu dan Roti Bakar Om Bob Nologaten,"Jl. Nologaten No.77 A, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Nologaten, Caturtunggal",Restaurant,"0888-0650-4281, +62 888-0650-4281",139,4.1,https://www.google.com/maps?cid=11893512844481016450,-7.7756823,110.4007239,,,"Rabu:[15.00-23.00], Kamis:[15.00-23.00], Jumat:[15.00-23.00], Sabtu:[15.00-23.00], Minggu:[15.00-23.00], Senin:[15.00-23.00], Selasa:[15.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,2
Susu dan Roti Bakar Om Bob Maguwo,"Jl. Beringin Raya, Denokan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Denokan, Maguwoharjo",Restaurant,"0882-1603-2741, +62 882-1603-2741",182,4.4,https://www.google.com/maps?cid=5039473529615941287,-7.7593883,110.4285521,,,"Rabu:[15.00-23.00], Kamis:[15.00-23.00], Jumat:[15.00-23.00], Sabtu:[15.00-23.00], Minggu:[15.00-23.00], Senin:[15.00-23.00], Selasa:[15.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,2
Susu dan Roti Bakar Om Bob Godean,"Modinan, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293","Modinan, Banyuraden",Restaurant,"0851-5619-7653, +62 851-5619-7653",193,4,https://www.google.com/maps?cid=883407607448768207,-7.7786875,110.3379375,,,"Rabu:[15.00-23.00], Kamis:[15.00-23.00], Jumat:[15.00-23.00], Sabtu:[15.00-00.00], Minggu:[15.00-00.00], Senin:[15.00-23.00], Selasa:[15.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,2
Nasi Goreng Sapi Padmanaba,"Jl. Yos Sudarso, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Jl. Yos Sudarso,"Nasi goreng restaurant,Diner",,6112,4.4,https://www.google.com/maps?cid=9314296293612873944,-7.7868817,110.3731669,,,"Rabu:[18.00-00.00], Kamis:[18.00-00.00], Jumat:[18.00-00.00], Sabtu:[18.00-00.00], Minggu:[18.00-00.00], Senin:[18.00-00.00], Selasa:[18.00-00.00]",tempat parkir,1,2
Nasi Goreng Sapi Kantor Notaris,"Jl. Atmosukarto No.11, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Kotabaru,"Nasi goreng restaurant,Indonesian restaurant,Restaurant",,2907,4.5,https://www.google.com/maps?cid=16057555073166694864,-7.7882456,110.3774233,,,"Rabu:[6.00-21.00], Kamis:[6.00-21.00], Jumat:[6.00-21.00], Sabtu:[6.00-21.00], Minggu:[6.00-21.00], Senin:[6.00-21.00], Selasa:[Tutup]",tempat parkir,1,2
Oharang BBQ Jogja (아랑),"Jl. Magelang.135, RW No.49, Kutu Asem, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",RW No.49,Korean barbecue,"0821-3488-1123, +62 821-3488-1123",659,4.6,https://www.google.com/maps?cid=16467560377123373565,-7.7634175,110.3616018,,,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, mushalla / tempat shalat",5,5
Seorae,"Jl. Demangan Baru No.20, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Demangan Baru, Caturtunggal","Korean barbecue restaurant,Barbecue restaurant,Restaurant","(0274) 4331377, +62 274 4331377",1407,4.4,https://www.google.com/maps?cid=12441613788056945859,-7.7775942,110.3929473,https://instagram.com/seoraejogja,instagram.com,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[11.00-22.00], Minggu:[11.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]","tempat parkir, mushalla / tempat shalat",5,5
Gyu-Kaku Japanese BBQ,"Jl. Suroto No.3, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Kotabaru,"Yakiniku restaurant,Japanese restaurant","(0274) 5019988, +62 274 5019988",641,4.6,https://www.google.com/maps?cid=12389698773482218047,-7.7853706,110.3743081,http://menu.gyu-kaku.id/,menu.gyu-kaku.id,"Rabu:[11.00-21.00], Kamis:[11.00-21.00], Jumat:[11.00-21.00], Sabtu:[11.00-21.00], Minggu:[11.00-21.00], Senin:[11.00-21.00], Selasa:[11.00-21.00]","tempat parkir, mushalla / tempat shalat",5,5
Kakkoii Japanese BBQ & Shabu-Shabu,"Magelang St No.222, Rogoyudan, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284",Magelang St No.222,Japanese restaurant,"0822-6835-5758, +62 822-6835-5758",2736,4.7,https://www.google.com/maps?cid=1836365535008972389,-7.7674545,110.3617657,http://kakkoii.co.id/,kakkoii.co.id,"Rabu:[11.00-21.00], Kamis:[11.00-21.00], Jumat:[11.00-21.00], Sabtu:[11.00-21.00], Minggu:[11.00-21.00], Senin:[11.00-21.00], Selasa:[11.00-21.00]","tempat parkir, mushalla / tempat shalat",5,5
Gyu-Kaku Japanese BBQ,"3rd, Paragon Mall, Jl. Pemuda No.118, Kota, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132",Jl. Pemuda No.118,"Yakiniku restaurant,Japanese restaurant","(024) 86579006, +62 24 86579006",412,4.9,https://www.google.com/maps?cid=10450071583955977455,-6.9788734,110.4160186,https://gyu-kaku.id/public/menu/index,gyu-kaku.id,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, mushalla / tempat shalat",5,5
Nikuya BBQ Jogja,"Terban, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55223",Terban,Restaurant,"0881-3437-507, +62 881-3437-507",13,4.4,https://www.google.com/maps?cid=13709374870278528769,-7.7824795,110.3798068,,,"Rabu:[11.00-10:30 PM], Kamis:[11.00-10:30 PM], Jumat:[11.00-10:30 PM], Sabtu:[11.00-10:30 PM], Minggu:[11.00-10:30 PM], Senin:[11.00-10:30 PM], Selasa:[11.00-10:30 PM]","tempat parkir, mushalla / tempat shalat",5,5
Niku Japanese BBQ Jogja,"Jl. Prawirotaman, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Brontokusuman,Japanese restaurant,,377,4.1,https://www.google.com/maps?cid=11055608269237164843,-7.8193133,110.3700358,https://instagram.com/nikubbq?utm_medium=copy_link,instagram.com,"Rabu:[2-21.00], Kamis:[2-21.00], Jumat:[2-22.00], Sabtu:[2-22.00], Minggu:[2-21.00], Senin:[2-21.00], Selasa:[2-21.00]","tempat parkir, mushalla / tempat shalat",5,5
Shabu AUCE,"Jl. Jend. Sudirman No.3, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Cokrodiningratan,"Shabu-shabu restaurant,Japanese restaurant","(0274) 2923410, +62 274 2923410",1838,4.5,https://www.google.com/maps?cid=16505472377861742907,-7.7826622,110.3674611,,,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[11.00-22.00], Minggu:[11.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]","tempat parkir, mushalla / tempat shalat",5,5
Milk by Artemy,"Jl. Kranggan No.58, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Cokrodiningratan,"Ice cream shop,Cafe,Western restaurant","0878-3429-4845, +62 878-3429-4845",3524,4.6,https://www.google.com/maps?cid=18065104557149422056,-7.7814143,110.3636896,,,"Rabu:[10.00-21.00], Kamis:[10.00-21.00], Jumat:[10.00-21.00], Sabtu:[10.00-21.00], Minggu:[10.00-21.00], Senin:[10.00-21.00], Selasa:[10.00-21.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,4
Sakapatat Brew House & Resto,"Jl. Pakuningratan No.34, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Cokrodiningratan,"Bar & grill,Bar,Beer store,Restaurant","(0274) 2921354, +62 274 2921354",2873,4.5,https://www.google.com/maps?cid=14336551925904533749,-7.7806394,110.3642638,https://linktr.ee/sakapatat,linktr.ee,"Rabu:[17.00-1 AM], Kamis:[17.00-1 AM], Jumat:[17.00-2 AM], Sabtu:[17.00-2 AM], Minggu:[17.00-1 AM], Senin:[17.00-1 AM], Selasa:[17.00-1 AM]",tempat parkir,5,5
Izakaya,"Jl. Ngapak - Kentheng No.18, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Kembang, Ngestiharjo",Restoran Jepang,"0821-3668-0003, +62 821-3668-0003",719,4.8,https://www.google.com/maps?cid=6742920667481928808,-7.7807027,110.3489786,,,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[11.00-22.00], Minggu:[11.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",5,5
Ramenhead,"Jl. Pandega Karya No.20, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Manggung, Caturtunggal",Restoran Ramen,,541,4.5,https://www.google.com/maps?cid=14206755196425147277,-7.7575685,110.3850227,https://instagram.com/ramenhead.co,instagram.com,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[11.00-22.00], Minggu:[11.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]",tempat parkir,3,5
BAKI by D'Monaco,"Jl. Raya Randugowang, Jatirejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285","Jatirejo, Sariharjo",Restoran Eropa,"(0274) 2880288, +62 274 2880288",861,4.4,https://www.google.com/maps?cid=10669901489734163913,-7.7305953,110.3748637,https://dmonacoyogya.com/,dmonacoyogya.com,"Rabu:[11.00-22.00], Kamis:[11.00-22.00], Jumat:[11.00-22.00], Sabtu:[11.00-22.00], Minggu:[11.00-22.00], Senin:[11.00-22.00], Selasa:[11.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",5,5
Kanari Society & Space,"Jl. Cemp. Baru, Dero, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Dero, Condongcatur",Kedai Kopi,"0821-4510-7699, +62 821-4510-7699",198,4.5,https://www.google.com/maps?cid=7123574188099213651,-7.7519336,110.4073031,https://www.instagram.com/kanarisocietyandspace/,instagram.com,"Rabu:[10.00-00.00], Kamis:[10.00-00.00], Jumat:[10.00-00.00], Sabtu:[10.00-00.00], Minggu:[10.00-00.00], Senin:[10.00-00.00], Selasa:[10.00-00.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
TRILOGI COFFEE,"Jl. Palagan Tentara Pelajar No.8.6, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Tegal Rejo, Sariharjo","Kedai Kopi,Toko kopi","(0274) 2833724, +62 274 2833724",885,4.6,https://www.google.com/maps?cid=5894695109759694343,-7.7229404,110.3819204,,,"Rabu:[08.00-23.00], Kamis:[08.00-23.00], Jumat:[08.00-23.00], Sabtu:[08.00-23.00], Minggu:[08.00-23.00], Senin:[08.00-23.00], Selasa:[08.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,3
Dummin Coffee & Space UKDW,"Jl. Dr. Wahidin Sudirohusodo No.34, RT.14/RW.04, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","RT.14/RW.04, Klitren",Kedai Kopi,"0818-989-982, +62 818-989-982",120,4.3,https://www.google.com/maps?cid=16864621925381014230,-7.786218,110.37886,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,3
Enam Langit by Plataran,"Butuh, Candirejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553",Borobudur,"Restoran Indonesia,Restoran Eropa","0811-262-880, +62 811-262-880",1575,4.6,https://www.google.com/maps?cid=18420091967437576912,-7.6350116,110.2187796,https://www.plataran.com/enam-langit/,plataran.com,"Rabu:[07.00-19.00], Kamis:[07.00-19.00], Jumat:[07.00-19.00], Sabtu:[07.00-19.00], Minggu:[07.00-19.00], Senin:[07.00-19.00], Selasa:[07.00-19.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",5,5
